"pTemperature,d18O"
"6.07,0.34"
"6.39,0.33"
"6.74,0.36"
"7.21,0.40"
"7.82,0.29"
"8.43,0.28"
"9.20,0.28"
"9.32,0.28"
"3.07,0.28"
"3.37,0.30"
"3.59,0.29"
"3.68,0.30"
"3.80,0.27"
"4.18,0.28"
"4.49,0.30"
"4.77,0.31"
"5.08,0.32"
"5.31,0.31"
"5.44,0.29"
"5.38,0.28"
"5.18,0.24"
"5.23,0.23"
"5.57,0.26"
"6.04,0.27"
"6.26,0.26"
"6.60,0.23"
"6.67,0.20"
"6.63,0.16"
"6.83,0.15"
"7.95,0.18"
"8.63,0.21"
"3.40,0.30"
"3.54,0.29"
"4.06,0.30"
"4.63,0.32"
"4.91,0.31"
"5.18,0.30"
"5.22,0.31"
"5.52,0.31"
"5.31,0.26"
"5.82,0.22"
"6.49,0.20"
"7.96,0.06"
"5.27,0.29"
"5.36,0.29"
"5.55,0.29"
"5.55,0.29"
"5.42,0.29"
"5.31,0.25"
"5.44,0.26"
"5.99,0.23"
"5.72,0.16"
"6.11,0.12"
"6.14,0.03"
"-0.55,0.32"
"-0.54,0.31"
"0.87,0.34"
"0.48,0.38"
"0.03,0.26"
"-0.40,0.11"
"-0.51,0.31"
"-0.67,0.28"
"-0.77,0.34"
"-0.84,0.39"
"-0.86,0.34"
"3.87,0.20"
"2.19,0.29"
"2.03,0.25"
"1.76,0.33"
"-0.75,0.20"
"-0.85,0.21"
"-0.92,0.22"
"-1.01,0.32"
"8.10,0.19"
"8.91,0.21"
"6.78,0.28"
"5.39,0.29"
"4.46,0.25"
"3.88,0.20"
"3.81,0.20"
"3.78,0.21"
"3.68,0.19"
"1.26,0.21"
"2.23,0.01"
"1.25,0.09"
"-0.39,0.12"
"-0.38,0.19"
"0.34,0.24"
"-0.18,0.28"
"-0.19,0.34"
"11.02,0.31"
"9.09,0.36"
"8.78,0.43"
"7.14,0.30"
"5.47,0.28"
"4.55,0.25"
"3.87,0.23"
"3.69,0.22"
"3.47,0.28"
"3.29,0.29"
"2.36,0.31"
"3.02,0.20"
"3.01,0.21"
"3.02,0.22"
"2.92,0.24"
"2.85,0.22"
"2.84,0.22"
"2.86,0.26"
"3.02,0.24"
"3.02,0.26"
"2.87,0.27"
"2.50,0.28"
"2.25,0.29"
"1.94,0.29"
"1.70,0.30"
"1.52,0.32"
"1.47,0.29"
"3.81,0.12"
"3.23,0.22"
"3.26,0.23"
"3.12,0.24"
"3.13,0.26"
"3.07,0.26"
"3.04,0.21"
"2.95,0.22"
"2.87,0.22"
"2.87,0.21"
"2.90,0.25"
"3.03,0.21"
"2.96,0.25"
"2.72,0.23"
"2.58,0.30"
"2.38,0.28"
"2.17,0.26"
"1.96,0.26"
"1.52,0.24"
"1.46,0.22"
"2.93,0.00"
"2.94,0.03"
"3.51,0.23"
"3.59,0.27"
"3.28,0.26"
"3.40,0.23"
"3.28,0.21"
"3.10,0.20"
"2.97,0.21"
"2.86,0.18"
"2.84,0.17"
"2.82,0.20"
"2.85,0.19"
"3.00,0.18"
"2.99,0.24"
"2.85,0.19"
"2.70,0.24"
"2.36,0.27"
"2.24,0.23"
"1.97,0.21"
"1.65,0.27"
"1.58,0.24"
"1.51,0.23"
"3.39,0.06"
"3.39,0.15"
"3.14,0.18"
"3.49,0.24"
"3.51,0.25"
"3.44,0.24"
"3.27,0.24"
"3.21,0.25"
"3.13,0.25"
"3.06,0.23"
"2.98,0.26"
"2.90,0.20"
"2.94,0.21"
"2.94,0.24"
"2.81,0.28"
"2.65,0.27"
"2.52,0.28"
"2.38,0.27"
"2.25,0.31"
"2.03,0.26"
"2.01,0.26"
"1.93,0.27"
"1.68,0.26"
"3.87,0.16"
"4.04,0.21"
"3.99,0.25"
"4.06,0.29"
"3.74,0.26"
"3.39,0.27"
"3.27,0.30"
"3.11,0.28"
"2.94,0.29"
"2.96,0.29"
"2.96,0.28"
"2.85,0.23"
"2.62,0.34"
"2.61,0.30"
"2.31,0.32"
"2.06,0.31"
"1.91,0.28"
"1.78,0.30"
"1.74,0.27"
"4.12,0.21"
"4.11,0.29"
"3.78,0.27"
"3.68,0.26"
"3.34,0.29"
"3.20,0.24"
"3.06,0.31"
"3.02,0.27"
"3.01,0.29"
"2.99,0.26"
"2.95,0.29"
"2.91,0.29"
"2.87,0.29"
